artist_name,track_name,popularity,track_id,track_uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,genre
BTS,Save Me,73,54s6sdPuMjVtdB5d5KFzTC,spotify:track:54s6sdPuMjVtdB5d5KFzTC,0.614,0.823,-3.48,0.062,0.0269,0.0,0.0783,0.539,139.948,196506,kpop
BLACKPINK,As If It's Your Last,75,1Zyd6zQnC6XIIzmg3hP7Ot,spotify:track:1Zyd6zQnC6XIIzmg3hP7Ot,0.786,0.853,-2.687,0.0816,0.0688,0.0,0.0759,0.45,125.034,213264,kpop
BTS,Lie,71,2cn8rNlgnQOJoqWqXRvWQu,spotify:track:2cn8rNlgnQOJoqWqXRvWQu,0.542,0.777,-5.582,0.033,0.00331,0.0,0.178,0.503,94.069,215753,kpop
BTS,Burning Up (Fire),73,4z9gBZQjGS4QLb4LOvmeuA,spotify:track:4z9gBZQjGS4QLb4LOvmeuA,0.627,0.706,-3.201,0.0597,0.00227,0.0,0.122,0.536,99.93,203352,kpop
j-hope,Chicken Noodle Soup (feat. Becky G),73,6wyr4ReB05D9sJB1Rsmcqo,spotify:track:6wyr4ReB05D9sJB1Rsmcqo,0.826,0.817,-4.081,0.0921,0.00502,1.09e-05,0.294,0.168,97.053,235497,kpop
BTS,Filter,82,0ono6UCNVZ1XqOm6j78Blu,spotify:track:0ono6UCNVZ1XqOm6j78Blu,0.781,0.762,-5.188,0.0626,0.0222,0.0,0.121,0.86,110.042,180221,kpop
BTS,My Time,81,4vTgx6h4seHvkuFh84JXYP,spotify:track:4vTgx6h4seHvkuFh84JXYP,0.674,0.64,-5.139,0.0339,0.151,0.0,0.0925,0.664,99.908,234458,kpop
BTS,ON (Feat. Sia),81,3IB5qOeMayvpOdHxYCL5tZ,spotify:track:3IB5qOeMayvpOdHxYCL5tZ,0.591,0.848,-4.397,0.0828,0.137,0.0,0.372,0.386,105.922,246816,kpop
ITZY,WANNABE,85,6tCssnvTUREcperDOUTqvA,spotify:track:6tCssnvTUREcperDOUTqvA,0.809,0.911,-4.41,0.0617,0.00795,0.000179,0.181,0.64,122.035,191242,kpop
BTS,UGH!,79,1aKuG1GG76xPLUkjBbQo3W,spotify:track:1aKuG1GG76xPLUkjBbQo3W,0.72,0.824,-5.086,0.128,0.0394,0.0,0.0509,0.333,165.998,225012,kpop
